Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
1,Gonzaga1,WCC,28-4,+30.95,120.7,89.7,72.5,-0.039,+4.24,104.6,100.3,-2.88
2,Houston5,Amer,32-6,+27.70,116.8,89.1,63.6,-0.012,+5.89,105.5,99.6,+0.18
3,Kansas,B12,34-6,+27.49,119.2,91.7,69.3,+.041,+12.60,108,95.4,+4.13
4,Baylor,B12,27-7,+27.04,118,91,67.4,+.004,+10.96,107.4,96.5,-1.89
5,Arizona1,P12,33-4,+25.96,118.6,92.6,72.2,+.048,+6.45,105.9,99.5,-0.78
6,Kentucky2,SEC,26-8,+25.72,120,94.3,67.5,-0.043,+8.88,106.5,97.6,-2.72
7,Texas Tech,B12,27-10,+25.64,110.7,85,66.5,-0.031,+10.98,107.8,96.8,-8.24
8,Duke2,ACC,32-7,+25.15,121.1,95.9,67.3,-0.01,+8.22,107.8,99.6,-4.58
9,Tennessee3,SEC,27-8,+25.10,111.5,86.4,67.4,+.029,+11.39,108.5,97.1,+4.85
10,Villanova2,BE,30-8,+24.56,117.5,92.9,62.3,+.060,+11.46,109.1,97.6,+8.65
11,UCLA4,P12,27-8,+24.26,115.9,91.7,65.2,-0.029,+8.50,107.2,98.7,+3.67
12,Auburn2,SEC,28-6,+23.20,112.7,89.5,70.1,-0.021,+8.35,106.9,98.6,+3.70
13,Iowa5,B10,26-10,+22.72,120.5,97.8,69.7,-0.061,+7.31,107.1,99.8,-6.82
14,Purdue3,B10,29-8,+22.36,121,98.6,66.1,+.022,+8.81,108,99.2,-3.54
15,Texas,B12,22-12,+20.88,112.5,91.6,63.8,-0.043,+10.68,107.7,97,-8.15
16,North Carolina8,ACC,29-10,+20.13,114.4,94.3,70.2,+.072,+9.90,109,99.1,+3.79
17,Saint Mary's5,WCC,26-8,+19.53,110.1,90.6,63.6,+.039,+6.89,106.8,99.9,+3.31
18,Arkansas4,SEC,28-9,+19.46,109.9,90.4,70.7,+.038,+9.08,107.5,98.4,-2.78
19,Virginia Tech11,ACC,23-13,+18.86,115,96.1,63.3,-0.062,+7.88,107.4,99.5,-0.53
20,Illinois4,B10,23-10,+18.75,112,93.3,67.2,+.033,+10.44,109,98.6,+1.39
21,LSU6,SEC,22-12,+18.65,107.3,88.7,68.6,-0.052,+9.10,107.2,98.1,-1.21
22,Connecticut5,BE,23-10,+18.55,113.8,95.3,64.8,-0.038,+7.39,105.7,98.3,-3.58
23,San Francisco10,WCC,24-10,+17.38,110.5,93.1,68.9,-0.042,+5.18,105.5,100.3,+2.23
24,Memphis9,Amer,22-11,+17.23,111.2,94,69.9,-0.028,+7.43,106.4,99,+4.46
25,San Diego St.8,MWC,23-9,+17.07,103.4,86.3,65.4,-0.003,+5.95,105.5,99.6,+2.56
26,TCU,B12,21-13,+17.02,108.7,91.7,65.9,+.014,+11.74,108,96.2,-5
27,Michigan11,B10,19-15,+16.61,113.9,97.2,66.7,-0.019,+12.15,109.8,97.7,+6.27
28,Alabama6,SEC,19-14,+16.57,115.2,98.6,71.9,-0.022,+12.58,109.4,96.9,+10.15
29,Loyola Chicago10,MVC,25-8,+16.52,108.6,92.1,64.7,+.012,+3.12,104.7,101.6,+3.15
30,Oklahoma,B12,19-16,+16.48,111,94.6,65.1,-0.054,+11.73,107.5,95.8,-2.04
31,Ohio St.7,B10,20-12,+16.24,115.5,99.3,65,-0.017,+9.83,108.3,98.4,+2.31
32,Providence4,BE,27-6,+15.89,111.5,95.6,65.2,+.164,+7.74,106.7,99,+0.26
33,Texas A&M,SEC,27-13,+15.69,109.1,93.4,66.7,-0.01,+7.33,106.2,98.8,-5.58
34,Oklahoma St.,B12,15-15,+15.60,103.8,88.2,67.6,-0.074,+11.80,108.2,96.4,+0.26
35,Wake Forest,ACC,25-10,+15.56,110.7,95.1,70.6,-0.001,+4.30,106.3,102,-9.39
36,Murray St.7,OVC,31-3,+15.42,111.5,96.1,66.1,+.074,-3.09,101.1,104.2,+4.29
37,Wisconsin3,B10,25-8,+15.34,109.3,94,66.5,+.105,+9.77,108.4,98.6,+2.91
38,Notre Dame11,ACC,24-11,+15.25,112.4,97.2,65.6,+.017,+7.81,107.1,99.3,+2.70
39,Boise St.8,MWC,27-8,+15.14,107.5,92.4,64.4,+.029,+5.47,104.8,99.3,+0.55
40,Davidson10,A10,27-7,+14.85,116.8,101.9,64.7,-0.02,+1.72,102.7,100.9,-1.98
,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
41,Miami FL10,ACC,26-11,+14.80,113.9,99.1,67.7,+.088,+8.63,107.5,98.8,+0.38
42,Michigan St.7,B10,23-13,+14.76,111.9,97.1,67.5,+.052,+10.93,109.4,98.5,+3.91
43,Iowa St,B12,22-13,+14.63,103.1,88.5,66.3,+.049,+11.25,108.1,96.9,-6.84
44,Washington St.,P12,22-15,+14.46,107.7,93.3,66.3,-0.084,+5.09,105.7,100.6,-3.37
45,Dayton,A10,24-11,+14.46,109.1,94.6,63.1,-0.039,+2.07,103.7,101.6,-1.86
46,Colorado St.6,MWC,25-6,+14.45,112.9,98.4,65.4,+.121,+5.02,104.9,99.9,-2.32
47,USC7,P12,26-8,+14.14,109.8,95.6,66.2,+.060,+5.14,104.8,99.7,-4.72
48,Indiana12,B10,21-14,+14.04,107,92.9,67.2,-0.02,+8.51,108.1,99.6,-6.23
49,Mississippi St.,SEC,18-16,+13.86,109.7,95.8,65.6,-0.087,+7.96,106.3,98.3,-1.63
50,Creighton9,BE,23-12,+13.78,105.9,92.2,67.2,+.086,+9.11,107.5,98.4,-0.67
51,UAB12,CUSA,27-8,+13.67,112.4,98.8,68.9,-0.035,-0.77,102,102.8,-2.46
52,Seton Hall8,BE,21-11,+13.61,107.1,93.5,67.3,+.033,+8.91,107.5,98.6,+0.99
53,Xavier,BE,23-13,+13.36,111.2,97.8,68.6,+.010,+7.92,106.4,98.4,+0.98
54,Vermont13,AE,28-6,+13.20,111.1,97.9,64.9,-0.028,-7,99,106,+1.92
55,St. John's,BE,17-15,+13.07,110.3,97.2,73.6,-0.101,+6.71,105.8,99.1,-7.17
56,Marquette9,BE,19-13,+13.06,109.2,96.2,70.9,+.021,+9.50,107.3,97.8,+4.04
57,North Texas,CUSA,25-7,+12.98,105.8,92.8,59.3,+.001,+0.26,103.8,103.5,+4.85
58,BYU,WCC,24-11,+12.94,110.1,97.2,68,+.026,+5.01,105,100,+5.74
59,Florida,SEC,20-14,+12.67,110.2,97.6,65.4,-0.018,+7.60,106,98.4,-2.33
60,Utah St.,MWC,18-16,+12.63,109.8,97.1,66.8,-0.133,+4.59,104.8,100.2,+3.30
61,Kansas St.,B12,14-17,+12.60,109.6,97,66.6,-0.092,+11.66,107.3,95.7,-4.37
62,SMU,Amer,24-9,+12.59,108.9,96.3,68.4,+.048,+3.12,104.1,101,-2.73
63,VCU,A10,22-10,+12.31,101.1,88.8,68.6,+.059,+5.66,106.2,100.5,+5.47
64,Vanderbilt,SEC,19-17,+12.27,107.2,94.9,67.8,-0.053,+8.58,107.1,98.5,-0.82
65,Wyoming12,MWC,25-9,+11.94,109.1,97.2,66.1,+.056,+4.10,104.7,100.6,-1.05
66,West Virginia,B12,16-17,+11.76,108.3,96.6,68,-0.001,+12.52,108.4,95.9,-0.37
67,Chattanooga13,SC,27-8,+11.51,109,97.5,64.7,+.007,+0.46,105.1,104.7,+1.74
68,Saint Louis,A10,23-12,+11.45,109.3,97.8,67.9,-0.021,+3.38,104.8,101.4,+2.33
