Rank,Team,2021,Last 3,Last 1,Home,Away,2020
1,Dallas,104.4,98.3,77,101.5,107.4,110.3
2,Boston,104.7,107.3,112,104.1,105.3,111.8
3,Miami,105.2,100.7,86,104.9,105.6,108.6
4,Cleveland,105.8,112.3,107,103.7,107.9,112.3
5,Golden State,105.8,115,126,103.3,108.3,112.6
6,New York,106.6,98.7,94,107.5,105.7,104.7
7,Toronto,107.1,98,88,106.6,107.6,111.7
8,Philadelphia,107.2,104.7,103,106.8,107.5,108.2
9,Utah,107.5,109,102,107.2,107.8,108.6
10,Phoenix,107.6,118,118,106.8,108.4,108.3
11,LA Clippers,108.4,100.7,105,107.3,109.4,107.8
12,Memphis,109.9,103.3,119,108.4,111.5,112.8
13,New Orleans,110.1,110.3,103,109.8,110.4,114.9
14,Denver,111,121.7,121,112.7,109.2,111.4
15,Milwaukee,111.3,96.7,95,110.6,112,112
16,Chicago,111.8,113.3,119,111.9,111.7,111.6
17,Okla City,111.8,131.7,138,111,112.6,115.6
18,Washington,112,118.7,124,112.5,111.5,118.8
19,Brooklyn,112.1,113,116,112.4,111.9,112.9
20,Atlanta,112.1,111.7,110,111.4,112.9,110.7
21,Orlando,112.2,118,111,112.3,112.1,113.3
22,Detroit,112.5,126.7,118,110.2,114.9,111.1
23,San Antonio,113,114.3,113,113.8,112.3,112.6
24,Minnesota,113.3,115.3,118,108.4,118.3,117.7
25,Indiana,114.9,132.7,134,114.8,115.1,115.7
26,Charlotte,115.1,119,132,112,118.1,111.8
27,Portland,115.1,122,111,113.8,116.4,114.8
28,LA Lakers,115.1,123.3,141,112.9,117.4,106.5
29,Sacramento,115.8,116.3,109,114.4,117.2,117.4
30,Houston,118.2,121.7,130,118.7,117.7,116.7
