Rank,Team,2021,Last 3,Last 1,Home,Away,2020
1,Boston,1.04,1.114,1.124,1.041,1.039,1.097
2,Golden State,1.04,1.132,1.176,1.011,1.07,1.068
3,Phoenix,1.048,1.217,1.255,1.044,1.051,1.079
4,Memphis,1.052,0.983,1.113,1.038,1.066,1.083
5,Miami,1.054,1.019,0.943,1.056,1.052,1.083
6,Dallas,1.062,1.029,0.819,1.038,1.086,1.103
7,Cleveland,1.065,1.113,1.135,1.045,1.085,1.11
8,LA Clippers,1.069,1.02,1.111,1.059,1.08,1.089
9,New York,1.07,0.986,0.931,1.073,1.066,1.051
10,Toronto,1.071,0.993,0.913,1.066,1.075,1.089
11,Utah,1.073,1.141,1.085,1.057,1.089,1.068
12,Philadelphia,1.075,1.06,1.069,1.073,1.077,1.045
13,Milwaukee,1.078,0.954,0.92,1.071,1.084,1.075
14,Minnesota,1.08,1.097,1.103,1.039,1.122,1.113
15,San Antonio,1.09,1.15,1.145,1.104,1.075,1.095
16,Orlando,1.092,1.146,1.092,1.092,1.092,1.113
17,Brooklyn,1.093,1.172,1.165,1.092,1.094,1.098
18,Okla City,1.095,1.317,1.374,1.092,1.097,1.11
19,New Orleans,1.095,1.138,1.095,1.094,1.097,1.104
20,Denver,1.096,1.197,1.129,1.109,1.083,1.1
21,LA Lakers,1.1,1.118,1.193,1.075,1.126,1.042
22,Detroit,1.101,1.237,1.17,1.079,1.122,1.092
23,Chicago,1.102,1.119,1.152,1.103,1.102,1.09
24,Charlotte,1.105,1.173,1.241,1.08,1.129,1.098
25,Washington,1.111,1.189,1.21,1.104,1.118,1.1
26,Atlanta,1.113,1.13,1.206,1.104,1.122,1.094
27,Sacramento,1.119,1.149,1.056,1.111,1.127,1.138
28,Indiana,1.124,1.253,1.247,1.122,1.126,1.091
29,Houston,1.131,1.187,1.307,1.132,1.13,1.116
30,Portland,1.132,1.234,1.1,1.116,1.149,1.129
