Rank,Team,2021,Last 3,Last 1,Home,Away,2020,NRtg
1,Boston,-7.2,-5.7,-4,-6.8,-7.5,-0.9,7.5
2,Phoenix,-7,+7.7,+15.0,-8.5,-5.6,-5.5,7.5
3,Golden State,-5.7,-6.7,+5.0,-10.3,-1.1,-0.9,5.6
4,Memphis,-5.7,-12,+1.0,-9.1,-2.3,-0.5,5.6
5,Utah,-5.3,+10.7,+25.0,-9.3,-1.5,-7.9,6.2
6,Miami,-4.9,-11,-24,-6,-3.8,+1.1,4.6
7,Milwaukee,-3.9,-16.7,-24,-4.1,-3.7,-5.7,3.3
8,Dallas,-3.5,-10.7,-25,-6.4,-0.5,-1.6,3.4
9,Philadelphia,-2.6,+6.7,+15.0,-3.4,-1.9,-5.9,2.7
10,Minnesota,-2.3,+12.0,-1,-4.6,+0.1,+5.6,2.6
11,Toronto,-2,-6.7,-15,-4.2,+0.1,+0.5,2.4
12,Cleveland,-1.9,-1.7,+6.0,-4.2,+0.3,+8.4,2.2
13,Denver,-1.8,+6.7,-5,-2.3,-1.3,-3.7,2.4
14,Atlanta,-1.2,+11.0,+24.0,-4.8,+2.4,-1.6,1.6
15,Brooklyn,-0.6,+5.7,+4.0,+2.0,-3.2,-4.8,0.8
16,Charlotte,-0.1,-1,+29.0,-1.4,+1.2,+2.3,0.4
17,San Antonio,0,+8.7,+10.0,+0.1,-0.1,+1.8,0.1
18,LA Clippers,+0.1,-13.7,+4.0,-2.3,+2.5,-5.7,0
19,New York,+0.1,-7,-11,+1.5,-1.3,-1.7,-0.1
20,New Orleans,+0.6,-7.7,-15,-1.7,+3.0,+0.3,-1
21,Chicago,+1.0,+16.7,+24.0,-1,+3.1,+0.9,-0.4
22,LA Lakers,+3.0,-2.7,-5,+0.5,+5.6,-2.1,-3
23,Washington,+3.4,+17.7,+16.0,+0.6,+6.1,+2.4,-3.4
24,Indiana,+3.5,+10.0,+8.0,+0.6,+6.4,0,-3.5
25,Sacramento,+5.5,+8.7,-7,+4.0,+6.9,+3.7,-5.4
26,Detroit,+7.7,+20.0,+12.0,+5.1,+10.3,+4.5,-7.8
27,Orlando,+8.0,+2.7,-14,+8.1,+7.9,+9.3,-8
28,Okla City,+8.1,+35.0,+50.0,+6.4,+9.8,+10.6,-8.2
29,Houston,+8.5,+10.3,+16.0,+6.8,+10.1,+7.9,-8.3
30,Portland,+8.9,+38.0,+31.0,+5.0,+12.8,-1.6,-9.1
