Rank,Team,2021,Last 3,Last 1,Home,Away,2020
1,Utah,1.126,1.029,0.819,1.149,1.104,1.146
2,Atlanta,1.125,1.019,0.943,1.151,1.099,1.109
3,Phoenix,1.116,1.138,1.095,1.127,1.105,1.133
4,Milwaukee,1.115,1.119,1.152,1.111,1.12,1.129
5,Denver,1.113,1.132,1.176,1.131,1.096,1.136
6,Boston,1.111,1.172,1.165,1.109,1.112,1.105
7,Memphis,1.107,1.097,1.103,1.125,1.088,1.088
8,Charlotte,1.106,1.182,0.969,1.094,1.117,1.075
9,Miami,1.103,1.13,1.206,1.116,1.09,1.073
10,Minnesota,1.102,0.983,1.113,1.083,1.121,1.061
11,Philadelphia,1.102,0.993,0.913,1.107,1.096,1.102
12,Brooklyn,1.099,1.114,1.124,1.073,1.126,1.144
13,Dallas,1.097,1.141,1.085,1.104,1.091,1.119
14,Golden State,1.096,1.197,1.129,1.111,1.081,1.077
15,Chicago,1.092,0.954,0.92,1.113,1.071,1.081
16,Toronto,1.09,1.06,1.069,1.108,1.073,1.085
17,Indiana,1.09,1.158,1.173,1.117,1.063,1.091
18,San Antonio,1.09,1.062,1.044,1.103,1.077,1.078
19,New Orleans,1.089,1.217,1.255,1.111,1.067,1.102
20,Cleveland,1.084,1.129,1.071,1.087,1.082,1.026
21,Washington,1.078,1.012,1.054,1.098,1.057,1.077
22,LA Lakers,1.071,1.142,1.235,1.07,1.073,1.062
23,New York,1.068,1.056,1.04,1.058,1.079,1.068
24,LA Clippers,1.068,1.158,1.069,1.081,1.055,1.147
25,Sacramento,1.066,1.063,1.124,1.072,1.061,1.102
26,Houston,1.05,1.086,1.146,1.067,1.033,1.04
27,Portland,1.045,0.85,0.793,1.067,1.023,1.144
28,Detroit,1.025,1.042,1.051,1.029,1.022,1.048
29,Okla City,1.016,0.967,0.876,1.03,1.002,1.007
30,Orlando,1.014,1.12,1.23,1.013,1.015,1.021
