Rank,Team,2021,Last 3,Last 1,Home,Away,2020
1,San Diego St,0.859,0.922,0.938,0.805,0.914,0.901
2,Texas Tech,0.871,0.951,1.136,0.841,0.9,0.914
3,Houston,0.871,0.86,0.835,0.789,0.94,0.872
4,LSU,0.875,0.968,0.896,0.813,0.937,1.014
5,Gonzaga,0.881,0.993,0.93,0.843,0.918,0.917
6,VCU,0.887,1.092,1.05,0.861,0.912,0.9
7,Tennessee,0.891,0.897,1.069,0.845,0.93,0.901
8,Grd Canyon,0.899,0.947,1.168,0.864,0.937,0.921
9,Auburn,0.901,0.963,1.052,0.859,0.938,1.008
10,Iowa State,0.904,0.826,0.969,0.851,0.966,1.063
11,Baylor,0.906,0.965,1.043,0.846,0.966,0.922
12,North Texas,0.908,0.914,1.121,0.889,0.926,0.929
13,St Peters,0.909,0.966,1.024,0.826,0.956,0.884
14,Navy,0.909,1.04,1.077,0.929,0.892,0.961
15,Oklahoma St,0.909,0.745,0.791,0.88,0.944,0.953
16,Arizona,0.911,0.983,1.109,0.848,0.963,0.972
17,Loyola-Chi,0.911,0.767,0.826,0.912,0.91,0.87
18,Murray St,0.914,1.046,1.056,0.872,0.941,0.965
19,Texas,0.914,1.09,1.169,0.809,1.042,0.948
20,Seattle,0.916,0.978,1.017,0.88,0.961,0.994
21,Fresno St,0.916,0.931,0.729,0.898,0.934,1.011
22,Boise State,0.918,0.927,1.043,0.909,0.925,0.944
23,Vermont,0.919,0.826,1.112,0.911,0.926,0.92
24,St Marys,0.92,1.071,1.277,0.876,0.957,0.936
25,TX Southern,0.921,0.919,1.09,0.893,0.932,0.931
26,Wagner,0.922,0.911,1.054,0.889,0.952,0.987
27,Arkansas,0.923,0.873,1.108,0.879,0.964,0.923
28,UC Irvine,0.926,1.035,1.137,0.841,0.971,0.908
29,Norfolk St,0.927,1.011,1.341,0.858,0.955,0.954
30,Dayton,0.929,0.948,0.979,0.911,0.945,0.983
31,UCLA,0.93,0.994,1.094,0.874,0.975,0.996
32,Texas A&M,0.93,0.801,0.78,0.899,0.96,0.996
33,Wash State,0.933,0.917,1.002,0.916,0.952,0.934
34,San Francisco,0.934,1.039,1.135,0.933,0.934,0.974
35,Connecticut,0.934,1.007,1.154,0.881,0.983,0.942
36,Kentucky,0.934,1.025,1.093,0.892,0.981,0.972
37,Utah Val St,0.936,0.97,1.201,0.879,0.969,1.02
38,N Mex State,0.936,0.847,0.733,0.9,0.96,0.978
39,Kansas,0.937,0.847,0.687,0.917,0.953,0.949
40,Southern,0.937,0.866,0.902,0.848,0.978,0.937
41,UAB,0.938,1.096,1.245,0.876,0.995,0.872
42,Fordham,0.938,0.927,1.092,0.911,0.959,1.018
43,S Methodist,0.939,0.929,1.064,0.906,0.98,0.94
44,Gard-Webb,0.939,0.993,1.142,0.947,0.934,0.997
45,TX Christian,0.94,0.922,1.023,0.915,0.962,1.029
46,Alab A&M,0.94,0.832,0.941,0.9,0.961,0.927
47,Ste F Austin,0.94,0.984,1.087,0.938,0.941,0.949
48,Memphis,0.94,1.056,1.181,0.883,0.99,0.853
49,Rhode Island,0.94,0.991,0.89,0.902,0.974,0.97
50,Wichita St,0.941,0.995,1.103,0.904,0.997,0.964
51,Bradley,0.941,1.013,1.008,0.888,0.979,1.003
52,Coastal Car,0.942,0.785,0.915,0.911,0.977,0.944
53,Seton Hall,0.942,0.927,1.016,0.919,0.965,0.99
54,Creighton,0.943,0.966,1.125,0.908,0.969,0.952
55,Indiana,0.944,1.078,1.191,0.872,1.021,0.984
56,USC,0.945,0.972,0.993,0.955,0.936,0.926
57,Cincinnati,0.945,1.042,1.146,0.903,0.995,0.989
58,Abl Christian,0.946,1.082,1.208,0.839,1.02,0.851
59,Villanova,0.948,0.863,0.735,0.908,0.969,0.986
60,Towson,0.948,0.986,0.984,0.927,0.963,1.079
61,Iona,0.949,0.994,1.066,0.886,0.991,0.926
62,Sam Hous St,0.949,0.817,1.054,0.882,0.983,0.973
63,Arizona St,0.949,0.841,1.037,0.874,1.023,1.034
64,UC Riverside,0.95,1.063,1.035,0.896,0.999,0.922
65,Belmont,0.952,0.959,1.166,0.893,0.993,0.948
66,Morehead St,0.952,0.897,1.063,0.946,0.955,0.939
67,Oklahoma,0.953,0.981,1.085,0.906,1.002,0.98
68,S Alabama,0.953,1.014,0.929,0.898,1.005,1.017
69,Wake Forest,0.954,0.904,0.887,0.912,1.013,1.048
70,Temple,0.956,0.977,0.988,0.89,1.017,0.982
71,Jacksonville,0.956,1.052,1.303,0.904,0.991,1.002
