Team,NET,Q_SCORE,Q1_W,Q1_L,Q2_W,Q2_L,Q3_W,Q3_L,Q4_W,Q4_L
Abilene Christian,123,0.13793103448275862,0,1,1,5,6,4,12,0
Air Force,256,-0.7931034482758621,0,7,1,4,2,5,8,2
Akron,127,0.16666666666666666,0,2,2,1,4,4,15,2
Alabama A&M,320,-1.5666666666666667,0,1,0,2,0,6,12,9
UAB,46,0.84375,2,1,3,2,8,3,12,1
Alabama St,313,-1.6666666666666667,0,7,0,1,0,2,9,11
Alabama,30,1.1875,8,8,5,3,5,2,1,0
Albany (NY),285,-1.2903225806451613,0,3,0,2,2,4,11,9
Alcorn St,265,-0.6363636363636364,0,5,0,3,1,4,16,4
American,336,-2.0,0,0,0,3,0,8,10,11
App St,160,-0.4666666666666667,0,2,0,4,7,5,9,3
Arizona St,96,0.16129032258064516,4,8,2,6,5,2,3,1
Arizona,2,2.121212121212121,6,3,8,0,9,0,7,0
Little Rock,315,-1.8,0,2,0,2,3,12,3,3
Ark. Pine Bluff,352,-2.310344827586207,0,6,0,1,0,4,5,13
Arkansas St,180,-0.38461538461538464,0,2,0,1,4,7,11,1
Arkansas,20,1.5454545454545454,7,6,5,1,6,1,7,0
Army,280,-1.3793103448275863,0,1,0,2,1,3,12,10
Auburn,11,2.125,8,5,7,0,8,0,4,0
Austin Peay,288,-1.1851851851851851,1,5,0,2,1,3,8,7
Ball St,263,-1.103448275862069,0,2,1,4,1,7,10,4
Baylor,4,2.09375,10,5,8,1,2,0,6,0
Bellarmine,194,-0.41379310344827586,0,5,1,1,1,4,14,3
Belmont,71,0.9333333333333333,1,3,3,3,4,0,16,0
Bethune-Cookman,338,-2.1379310344827585,0,1,0,3,2,3,6,14
Binghamton,296,-1.5185185185185186,0,3,0,1,2,4,8,9
Boise St,29,1.5757575757575757,6,3,7,3,7,0,6,1
Boston College,150,-0.6666666666666666,2,5,2,5,2,8,7,2
Boston U,201,-0.53125,0,0,0,2,4,3,16,7
Bowling Green,281,-1.3571428571428572,0,1,0,5,1,5,10,6
Bradley,95,-0.10344827586206896,1,5,1,2,6,3,8,3
BYU,54,0.8275862068965517,4,6,3,3,3,0,9,1
Brown,211,-1.037037037037037,0,1,1,6,3,5,7,4
Bryant,200,-0.03333333333333333,0,1,0,3,3,2,18,3
Bucknell,334,-2.09375,0,0,0,5,0,6,9,12
Buffalo,118,-0.037037037037037035,1,2,1,3,2,3,13,2
Butler,121,0.06451612903225806,2,14,3,5,2,0,5,0
Cal Poly,308,-2.185185185185185,0,2,0,1,1,10,5,8
Cal St Bakersfield,278,-1.92,1,2,0,2,0,9,5,6
Cal St Fullerton,153,-0.034482758620689655,0,2,1,1,7,3,11,4
Cal St Northridge,324,-2.0714285714285716,0,4,0,0,1,11,5,7
Cal Baptist,219,-0.7,0,2,0,5,2,6,13,2
UC-Davis,218,-0.8181818181818182,1,0,0,0,1,6,10,4
UC-Irvine,133,-0.21739130434782608,2,2,0,1,3,5,8,2
UC-Riverside,163,-0.5,0,2,1,2,3,6,10,2
UC San Diego,267,-1.3703703703703705,0,1,0,1,3,8,8,6
UC-Santa Barbara,139,-0.5,0,2,0,0,4,6,11,3
California,145,-0.53125,0,7,3,10,2,2,7,1
Campbell,220,-0.96,0,2,0,1,0,3,13,6
Canisius,258,-1.6774193548387097,0,1,0,3,3,10,7,7
Central Arkansas,318,-1.5172413793103448,0,5,0,1,2,8,7,6
Central Conn St,345,-2.1875,0,2,0,2,0,8,8,12
UCF,101,0.3,1,6,3,3,4,2,10,1
Central Michigan,316,-1.793103448275862,0,4,1,4,0,7,6,7
Charleston So,349,-2.8518518518518516,0,1,0,2,1,8,2,13
Charlotte,188,-0.3225806451612903,0,3,0,5,5,5,12,1
Chattanooga,63,0.78125,1,2,3,0,11,2,10,3
Chicago St,339,-2.0,0,2,0,6,1,8,6,8
Cincinnati,99,-0.0625,1,7,2,3,3,4,11,1
Citadel,230,-1.4814814814814814,0,2,0,4,4,5,5,7
Clemson,84,0.06060606060606061,1,5,3,7,7,4,6,0
Cleveland St,182,-0.32142857142857145,0,2,0,0,1,6,17,2
Coastal Carolina,158,-0.92,0,0,0,3,5,6,7,4
Colgate,128,-0.21212121212121213,0,2,1,0,1,6,20,3
Col of Charleston,147,-0.4375,1,2,1,4,4,6,11,3
Colorado St,28,1.7241379310344827,5,3,8,1,3,1,8,0
Colorado,70,0.7419354838709677,1,5,6,2,5,3,9,0
Columbia,351,-2.8,0,0,0,2,1,10,2,10
Connecticut,17,1.40625,5,6,8,3,3,0,7,0
Coppin St,301,-1.84375,0,2,0,4,1,9,8,8
Cornell,189,-0.5416666666666666,0,1,0,3,4,5,9,2
Creighton,55,1.2121212121212122,7,6,4,4,6,1,5,0
Dartmouth,228,-1.5416666666666667,0,1,0,2,3,9,5,4
Davidson,41,1.1875,2,2,4,3,9,1,11,0
Dayton,58,0.696969696969697,3,2,5,4,6,1,9,3
Delaware St,357,-3.48,0,0,0,4,0,5,0,16
Delaware,137,0.0625,0,1,1,4,8,4,12,2
Denver,294,-1.6333333333333333,0,2,0,3,2,7,8,8
DePaul,102,0.16129032258064516,1,11,3,4,3,1,8,0
Detroit Mercy,231,-0.9642857142857143,0,3,0,2,1,6,12,4
Dixie State,272,-1.3333333333333333,0,2,0,6,3,6,6,4
Drake,82,0.6129032258064516,2,4,2,4,6,2,11,0
Drexel,161,-0.5714285714285714,0,1,1,5,5,6,8,2
Duke,12,1.6176470588235294,6,2,6,3,8,1,8,0
Duquesne,279,-1.9,0,3,1,6,2,8,3,7
East Carolina,185,-0.36666666666666664,0,4,1,7,2,4,12,0
East Tenn St,184,-0.6551724137931034,1,3,1,3,7,5,4,5
Eastern IL,356,-2.689655172413793,0,4,0,4,0,3,3,15
Eastern KY,268,-1.8148148148148149,0,1,0,2,0,7,9,8
Eastern Mich,303,-1.6206896551724137,0,2,0,6,0,6,9,6
Eastern Wash,221,-0.8064516129032258,1,2,0,2,2,4,13,7
Elon,259,-1.5,0,5,1,2,2,12,5,3
Evansville,323,-1.9655172413793103,0,4,0,6,1,9,4,5
Fairfield,209,-1.21875,0,1,0,2,2,10,12,5
F Dickinson,348,-2.5384615384615383,0,2,0,4,1,3,3,13
Florida A&M,314,-1.4285714285714286,0,3,0,2,0,4,11,8
Florida Atlantic,131,-0.5333333333333333,0,3,0,4,3,4,13,3
FGCU,198,-0.4,0,1,1,1,1,5,17,4
Florida Intl,266,-1.2,0,1,0,3,2,8,11,5
Florida St,106,0.3225806451612903,2,6,4,4,6,3,5,1
Florida,59,0.71875,3,10,4,2,5,0,7,1
Fordham,177,-0.46875,0,5,0,4,5,5,11,2
Fresno St,73,0.25806451612903225,0,8,3,3,4,2,11,0
Furman,80,0.12121212121212122,0,4,1,2,9,4,11,2
Gardner-Webb,174,-0.7037037037037037,0,2,0,2,3,6,11,3
George Mason,115,-0.5666666666666667,0,3,2,4,5,7,7,2
George Wash,227,-0.9666666666666667,0,3,0,5,5,7,7,3
Georgetown,193,-1.1290322580645162,0,12,0,9,2,3,4,1
GA Southern,247,-1.3461538461538463,0,0,0,2,4,11,6,3
Georgia St,159,-0.28,0,1,0,1,7,6,8,2
Georgia Tech,168,-0.5806451612903226,0,9,0,7,7,3,4,1
Georgia,223,-1.3125,1,10,1,8,0,5,4,3
Gonzaga,1,2.0,10,3,2,0,1,0,13,0
Grambling,306,-1.5666666666666667,0,5,0,1,1,5,9,9
Grand Canyon,92,0.42857142857142855,1,0,1,5,7,2,11,1
Green Bay,343,-2.7586206896551726,0,2,0,1,0,8,4,14
Hampton,322,-2.24,0,1,0,2,1,6,5,10
Hartford,284,-1.625,0,1,1,2,0,7,11,10
Harvard,229,-1.173913043478261,0,0,0,2,3,8,7,3
Hawaii,169,-0.4230769230769231,0,1,0,2,5,6,10,2
High Point,261,-1.2592592592592593,0,3,0,2,2,4,9,7
Hofstra,116,0.1,1,2,0,4,8,3,10,2
Holy Cross,344,-2.413793103448276,0,0,0,1,2,7,5,14
Houston Bap,337,-2.16,0,3,0,0,0,2,7,13
Houston,3,1.6470588235294117,1,4,10,1,10,0,8,0
Howard,240,-1.0769230769230769,0,1,1,1,0,4,12,7
Idaho St,342,-2.6785714285714284,0,0,0,2,0,8,5,13
Idaho,327,-2.206896551724138,0,1,1,2,0,8,6,11
Illinois-Chicago,283,-1.2413793103448276,0,2,0,0,2,7,11,7
Illinois St,196,-1.0666666666666667,0,5,1,4,1,7,9,3
Illinois,15,1.4838709677419355,6,6,6,3,6,0,4,0
Incarnate Word,350,-2.4827586206896552,0,4,0,1,0,5,5,14
Indiana St,236,-1.3571428571428572,0,5,1,4,1,8,6,3
Indiana,38,0.7878787878787878,4,8,4,4,5,1,7,0
Iona,90,0.71875,1,2,1,1,11,2,12,2
Iowa St,49,1.09375,9,8,1,4,2,0,8,0
Iowa,14,1.4,4,6,8,3,7,0,7,0
IPFW,232,-0.5,0,0,0,1,2,6,17,4
IUPUI,358,-3.4444444444444446,0,1,0,1,0,5,1,19
Jackson St,277,-1.4,0,4,0,3,2,3,9,9
Jacksonville St,143,-0.20689655172413793,0,2,1,1,3,2,15,5
Jacksonville,170,-0.2962962962962963,0,0,0,3,2,7,15,0
